"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
24165365,"mrblackmag",1491886,449.086,1445.87362730008,8777,"Russian Federation"
12834269,"El Merami",1507,11803.3,1445.85376171678,8778,"Mexico"
12660895,"Pivix",6574,9236.03,1445.83905648544,8779,"Ukraine"
9633566,"foraphe",109820,4585.75,1445.83299218281,8780,"China"
20067456,"Anadrol",54735,5738.71,1445.82894405507,8781,"Israel"
8972372,"gUn_d0N[i]o2007",12564,8164.75,1445.82169859148,8782,"Russian Federation"
21527894,"SmallPeen",556,13659,1445.82098393828,8783,"United States"
27597380,"her everything",95347,4825.01,1445.76022017989,8784,"Switzerland"
15096052,"Walibi",85141,5013.16,1445.72244679981,8785,"Ireland"
21063873,"virtualize",314386,2647.34,1445.71277494068,8786,"Belgium"
16269640,"Poshito",2681,10756.4,1445.71102290018,8787,"Peru"
14235905,"ouocoffee",27528,6864.41,1445.6970829087,8788,"Taiwan"
9236652,"Breab",81729,5080.45,1445.67349000501,8789,"United States"
25104520,"rumabtw",91137,4900.95,1445.64324640776,8790,"Kazakhstan"
12430409,"Demrialis",34512,6496.03,1445.62917138635,8791,"Canada"
21002718,"affirmedcheese",139009,4164.28,1445.58901861084,8792,"United States"
21239199,"CrimzonSound",55596,5713.48,1445.55508286435,8793,"United States"
7857559,"Gato2499",455786,1987.86,1445.53922529008,8794,"Ecuador"
20062634,"kigsters",6956,9129.49,1445.51188374581,8795,"United States"
13223137,"3kpa",87437,4968.48,1445.48800194368,8796,"Slovenia"
